Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
YELLOW,AFRAID,response_markdown,5f31658cc1451163317790c4,831.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
GREEN,DISGUSTED,response_markdown,5f31658cc1451163317790c4,905.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
BLUE,SERENE,response_markdown,5f31658cc1451163317790c4,2873.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
ORANGE,ANGRY,response_markdown,5f31658cc1451163317790c4,1546.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
PURPLE,BORED,response_markdown,5f31658cc1451163317790c4,1490.0,3_ Emotion & Color Association Phase_ENGLISH,1835559.0
YELLOW,SAD,response_markdown,5f3165b1d0db5b100f0717ab,4097.515000030398,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
GREEN,CALM,response_markdown,5f3165b1d0db5b100f0717ab,674.0099999587983,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
ORANGE,HAPPY,response_markdown,5f3165b1d0db5b100f0717ab,3913.524999981746,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
RED,STRESSED,response_markdown,5f3165b1d0db5b100f0717ab,576.8050000187941,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
RED,FRUSTRATED,response_markdown,5f3165b1d0db5b100f0717ab,426.099999982398,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
YELLOW,DISGUSTED,response_markdown,5f3165b1d0db5b100f0717ab,1128.4450000384822,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
RED,AFRAID,response_markdown,5f3165b1d0db5b100f0717ab,1180.5349999922328,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
YELLOW,ASTONISHED,response_markdown,5f3165b1d0db5b100f0717ab,3354.9100000527687,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
BLUE,SATISFIED,response_markdown,5f3165b1d0db5b100f0717ab,489.6500000031665,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
YELLOW,DEPRESSED,response_markdown,5f3165b1d0db5b100f0717ab,307.1050000144169,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
PURPLE,EXCITED,response_markdown,5f3165b1d0db5b100f0717ab,120.4499999876134,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
BLUE,SLEEPY,response_markdown,5f3165b1d0db5b100f0717ab,1174.1100000217557,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
RED,SURPRISED,response_markdown,5f3165b1d0db5b100f0717ab,520.2850000350736,3_ Emotion & Color Association Phase_ENGLISH,1835567.0
