Subject ID,Emotion,Color
4549085.0,AFRAID,"['rgb(57, 0, 156)']"
4549085.0,SURPRISED,"['rgb(87, 255, 95)']"
4549085.0,STRESSED,"['rgb(86, 163, 83)']"
4549085.0,TIRED,"['rgb(19, 7, 184)']"
4549085.0,CURIOUS,"['rgb(233, 214, 255)']"
4549085.0,SLEEPY,"['rgb(13, 9, 145)']"
4549085.0,SERENE,"['rgb(135, 199, 255)']"
4549085.0,ALARMED,"['rgb(219, 0, 18)']"
4549085.0,GUILTY,"['rgb(255, 143, 15)']"
4549085.0,GENEROUS,"['rgb(255, 138, 189)']"
4549085.0,ASTONISHED,"['rgb(255, 56, 182)']"
4549085.0,SAD,"['rgb(47, 114, 222)']"
4549085.0,CALM,"['rgb(156, 225, 255)']"
4549085.0,INTERESTED,"['rgb(254, 255, 194)']"
4549085.0,SHY,"['rgb(255, 191, 219)']"
4549085.0,HAPPY,"['rgb(255, 66, 173)']"
4549085.0,EMPATHETIC,"['rgb(255, 128, 157)']"
4549075.0,EXCITED,"['rgb(252, 255, 99)']"
4549075.0,UNCERTAIN,"['rgb(160, 255, 148)']"
4549075.0,SATISFIED,"['rgb(160, 255, 28)']"
4549075.0,PITY,"['rgb(255, 163, 244)']"
4549075.0,ANGRY,"['rgb(255, 32, 20)']"
4549075.0,DEPRESSED,"['rgb(33, 35, 181)']"
4549075.0,DISGUSTED,"['rgb(112, 3, 1)']"
4549075.0,FRUSTRATED,"['rgb(214, 63, 17)']"
4549075.0,JEALOUS,"['rgb(255, 92, 116)']"
4549075.0,BORED,"['rgb(87, 190, 255)']"
4549075.0,AFRAID,"['rgb(255, 196, 205)']"
4549075.0,SURPRISED,"['rgb(242, 255, 0)']"
4549075.0,STRESSED,"['rgb(189, 21, 35)']"
4549075.0,TIRED,"['rgb(64, 43, 41)']"
4549075.0,CURIOUS,"['rgb(169, 255, 77)']"
4549075.0,SLEEPY,"['rgb(51, 51, 48)']"
4549075.0,SERENE,"['rgb(97, 139, 237)']"
4549075.0,ALARMED,"['rgb(255, 95, 59)']"
4549075.0,GUILTY,"['rgb(255, 149, 138)']"
4549075.0,GENEROUS,"['rgb(237, 255, 71)']"
4549075.0,ASTONISHED,"['rgb(237, 62, 65)']"
4549075.0,SAD,"['rgb(84, 90, 255)']"
4549075.0,CALM,"['rgb(86, 145, 240)']"
4549075.0,INTERESTED,"['rgb(78, 255, 59)']"
4549075.0,SHY,"['rgb(150, 255, 222)']"
4549075.0,HAPPY,"['rgb(255, 252, 46)']"
4549075.0,EMPATHETIC,"['rgb(160, 71, 255)']"
4549076.0,EXCITED,"['rgb(255, 128, 140)']"
4549076.0,UNCERTAIN,"['rgb(145, 145, 145)']"
4549076.0,SATISFIED,"['rgb(255, 247, 217)']"
4549076.0,PITY,"['rgb(143, 180, 255)']"
4549076.0,ANGRY,"['rgb(255, 34, 0)']"
4549076.0,DEPRESSED,"['rgb(0, 0, 0)']"
4549076.0,DISGUSTED,"['rgb(144, 0, 196)']"
4549076.0,FRUSTRATED,"['rgb(255, 17, 0)']"
4549076.0,JEALOUS,"['rgb(0, 97, 37)']"
4549076.0,BORED,"['rgb(102, 102, 102)']"
4549076.0,AFRAID,"['rgb(57, 44, 99)']"
4549076.0,SURPRISED,"['rgb(255, 106, 0)']"
4549076.0,STRESSED,"['rgb(245, 255, 56)']"
4549076.0,TIRED,"['rgb(99, 13, 168)']"
4549076.0,CURIOUS,"['rgb(128, 255, 195)']"
4549076.0,SLEEPY,"['rgb(119, 24, 163)']"
4549076.0,SERENE,"['rgb(232, 252, 237)']"
4549076.0,ALARMED,"['rgb(232, 220, 0)']"
4549076.0,GUILTY,"['rgb(38, 103, 255)']"
4549076.0,GENEROUS,"['rgb(239, 255, 120)']"
4549076.0,ASTONISHED,"['rgb(255, 115, 0)']"
4549076.0,SAD,"['rgb(98, 95, 176)']"
4549076.0,CALM,"['rgb(237, 250, 255)']"
4549076.0,INTERESTED,"['rgb(79, 252, 255)']"
4549076.0,SHY,"['rgb(215, 201, 255)']"
4549076.0,HAPPY,"['rgb(255, 237, 138)']"
4549076.0,EMPATHETIC,"['rgb(250, 209, 255)']"
